input,output
"{""hq_code"": ""TDL"", ""max_value"": 13994, ""min_value"": 8688, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_DUTY""}",SELECT TOTAL_DUTY FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND TOTAL_DUTY BETWEEN 8688 AND 13994 ORDER BY TOTAL_DUTY ASC;
"{""max_value"": 11781, ""min_value"": 11369, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE NON_RUN_DUTY_MIN BETWEEN 11369 AND 11781 ORDER BY TOTAL_DUTY DESC;
"{""hq_code"": ""BSP"", ""max_value"": 1341, ""min_value"": 4442, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_order"": ""ASC""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND NON_RUN_DUTY_MIN BETWEEN 4442 AND 1341;
"{""select_column"": ""NON_RUN_DUTY_MIN""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA;
"{""hq_code"": ""TDL"", ""select_column"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_DUTY FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL';
"{""hq_code"": ""TDL"", ""min_value"": 2707, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND RUN_DUTY_MIN >= 2707 ORDER BY TOTAL_DUTY DESC;
"{""hq_code"": ""BSP"", ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS DESC;
"{""hq_code"": ""BSP"", ""max_value"": 10029, ""select_column"": ""CREW_ID_V""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""max_value"": 2385, ""min_value"": 2883, ""select_column"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA WHERE TOTAL_KMS BETWEEN 2883 AND 2385;
"{""hq_code"": ""TDL"", ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS DESC;
"{""hq_code"": ""TDL"", ""max_value"": 13600, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND NON_RUN_DUTY_MIN <= 13600 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_DUTY DESC;
"{""hq_code"": ""BSP"", ""min_value"": 3556, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_DUTY DESC;
"{""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""max_value"": 12611, ""min_value"": 14822, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND NON_RUN_DUTY_MIN BETWEEN 14822 AND 12611 ORDER BY TOTAL_KMS DESC;
"{""hq_code"": ""BSP"", ""max_value"": 11930, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND NON_RUN_DUTY_MIN <= 11930 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""max_value"": 4216, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND RUN_DUTY_MIN <= 4216 ORDER BY TOTAL_KMS DESC;
"{""hq_code"": ""TDL"", ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""max_value"": 11814, ""select_column"": ""CREW_ID_V"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL';
"{""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""max_value"": 1898, ""min_value"": 1370, ""select_column"": ""TOTAL_KMS""}",SELECT TOTAL_KMS FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND TOTAL_KMS BETWEEN 1370 AND 1898;
"{""hq_code"": ""BSP"", ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_DUTY ASC;
"{""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""BSP"", ""min_value"": 13925, ""select_column"": ""NON_RUN_DUTY_MIN""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND NON_RUN_DUTY_MIN >= 13925;
"{""min_value"": 2374, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA WHERE TOTAL_DUTY >= 2374 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""BSP"", ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS ASC;
"{""select_column"": ""RUN_DUTY_MIN""}",SELECT RUN_DUTY_MIN FROM CREW_MILEAGE_DATA;
"{""hq_code"": ""BSP"", ""max_value"": 7187, ""min_value"": 4989, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND NON_RUN_DUTY_MIN BETWEEN 4989 AND 7187 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_DUTY ASC;
"{""select_column"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA;
"{""hq_code"": ""BSP"", ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""BSP"", ""max_value"": 2032, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""max_value"": 5139, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS ASC;
"{""max_value"": 6214, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""min_value"": 3028, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND NON_RUN_DUTY_MIN >= 3028 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""max_value"": 662, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND NON_RUN_DUTY_MIN <= 662 ORDER BY TOTAL_DUTY DESC;
"{""hq_code"": ""BSP"", ""min_value"": 7540, ""select_column"": ""CREW_ID_V""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""BSP"", ""select_column"": ""RUN_DUTY_MIN"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""max_value"": 487, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_KMS""}",SELECT TOTAL_DUTY FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND TOTAL_DUTY <= 487 ORDER BY TOTAL_KMS ASC;
"{""max_value"": 1803, ""min_value"": 1202, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE NON_RUN_DUTY_MIN BETWEEN 1202 AND 1803 ORDER BY TOTAL_KMS ASC;
"{""max_value"": 11190, ""min_value"": 6981, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE NON_RUN_DUTY_MIN BETWEEN 6981 AND 11190 ORDER BY TOTAL_DUTY DESC;
"{""max_value"": 5159, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_KMS""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA WHERE TOTAL_DUTY <= 5159 ORDER BY TOTAL_KMS ASC;
"{""max_value"": 2212, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE NON_RUN_DUTY_MIN <= 2212 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""BSP"", ""min_value"": 2894, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_DUTY FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND TOTAL_DUTY >= 2894 ORDER BY TOTAL_DUTY DESC;
"{""hq_code"": ""TDL"", ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_DUTY DESC;
"{""max_value"": 3457, ""min_value"": 6797, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""max_value"": 12819, ""select_column"": ""NON_RUN_DUTY_MIN""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND NON_RUN_DUTY_MIN <= 12819;
"{""hq_code"": ""BSP"", ""min_value"": 1489, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS DESC;
"{""max_value"": 2032, ""min_value"": 10981, ""select_column"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA WHERE TOTAL_DUTY BETWEEN 10981 AND 2032;
"{""max_value"": 14715, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""max_value"": 3799, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND NON_RUN_DUTY_MIN <= 3799 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""max_value"": 11755, ""min_value"": 6325, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""RUN_DUTY_MIN""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL';
"{""hq_code"": ""BSP"", ""select_column"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_DUTY FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""hq_code"": ""TDL"", ""max_value"": 1948, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND NON_RUN_DUTY_MIN <= 1948 ORDER BY TOTAL_DUTY DESC;
"{""max_value"": 7650, ""select_column"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA WHERE TOTAL_KMS <= 7650;
"{""hq_code"": ""TDL"", ""max_value"": 797, ""select_column"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_DUTY FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND TOTAL_DUTY <= 797;
"{""hq_code"": ""TDL"", ""max_value"": 5912, ""min_value"": 8257, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND NON_RUN_DUTY_MIN BETWEEN 8257 AND 5912 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_DUTY DESC;
"{""max_value"": 10581, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA WHERE TOTAL_KMS <= 10581 ORDER BY TOTAL_DUTY DESC;
"{""hq_code"": ""BSP"", ""select_column"": ""TOTAL_KMS""}",SELECT TOTAL_KMS FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""select_column"": ""CREW_ID_V""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA;
"{""select_column"": ""NON_RUN_DUTY_MIN""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA;
"{""hq_code"": ""TDL"", ""select_column"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_DUTY FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL';
"{""max_value"": 6218, ""select_column"": ""RUN_DUTY_MIN"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE RUN_DUTY_MIN <= 6218;
"{""min_value"": 2652, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_order"": ""ASC""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE NON_RUN_DUTY_MIN >= 2652;
"{""hq_code"": ""BSP"", ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_DUTY""}",SELECT TOTAL_DUTY FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""min_value"": 5651, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND NON_RUN_DUTY_MIN >= 5651 ORDER BY TOTAL_KMS ASC;
"{""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""max_value"": 14666, ""min_value"": 4197, ""select_column"": ""NON_RUN_DUTY_MIN""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND NON_RUN_DUTY_MIN BETWEEN 4197 AND 14666;
"{""hq_code"": ""TDL"", ""max_value"": 5611, ""min_value"": 9160, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT TOTAL_DUTY FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND TOTAL_DUTY BETWEEN 9160 AND 5611 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""BSP"", ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_DUTY DESC;
"{""hq_code"": ""BSP"", ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""RUN_DUTY_MIN"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL';
"{""hq_code"": ""BSP"", ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""min_value"": 8769, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND RUN_DUTY_MIN >= 8769 ORDER BY TOTAL_KMS ASC;
"{""max_value"": 9105, ""min_value"": 6024, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE RUN_DUTY_MIN BETWEEN 6024 AND 9105 ORDER BY TOTAL_KMS DESC;
"{""max_value"": 1084, ""min_value"": 92, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_order"": ""ASC""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE NON_RUN_DUTY_MIN BETWEEN 92 AND 1084;
"{""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY""}",SELECT RUN_DUTY_MIN FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_DUTY ASC;
"{""select_column"": ""RUN_DUTY_MIN"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM CREW_MILEAGE_DATA;
"{""max_value"": 4717, ""min_value"": 2409, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA WHERE TOTAL_KMS BETWEEN 2409 AND 4717 ORDER BY TOTAL_DUTY DESC;
"{""hq_code"": ""BSP"", ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""min_value"": 2731, ""select_column"": ""NON_RUN_DUTY_MIN""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND NON_RUN_DUTY_MIN >= 2731;
"{""max_value"": 8712, ""min_value"": 2777, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE NON_RUN_DUTY_MIN BETWEEN 2777 AND 8712 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""max_value"": 12110, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_KMS FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND TOTAL_KMS <= 12110 ORDER BY TOTAL_DUTY DESC;
"{""hq_code"": ""TDL"", ""max_value"": 5974, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND TOTAL_KMS <= 5974 ORDER BY TOTAL_DUTY ASC;
"{""max_value"": 1099, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA WHERE TOTAL_DUTY <= 1099 ORDER BY TOTAL_KMS ASC;
"{""max_value"": 5906, ""select_column"": ""CREW_ID_V"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA;
"{""select_column"": ""RUN_DUTY_MIN""}",SELECT RUN_DUTY_MIN FROM CREW_MILEAGE_DATA;
"{""hq_code"": ""BSP"", ""max_value"": 926, ""min_value"": 198, ""select_column"": ""TOTAL_KMS""}",SELECT TOTAL_KMS FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND TOTAL_KMS BETWEEN 198 AND 926;
"{""hq_code"": ""BSP"", ""max_value"": 2944, ""select_column"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_DUTY FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND TOTAL_DUTY <= 2944;
"{""hq_code"": ""TDL"", ""min_value"": 3292, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS DESC;
"{""hq_code"": ""BSP"", ""max_value"": 2496, ""select_column"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND TOTAL_KMS <= 2496;
"{""min_value"": 4866, ""select_column"": ""CREW_ID_V"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA;
